name,color,type,rarity,cost,order,base_description,search_text,source,source_url,fetched_at_utc
Bash,ironclad,attack,basic,2,0,Deal 8 damage. / Apply 2 Vulnerable.,bash ironclad basic attack deal 8 damage. apply 2 vulnerable . deal 10 damage. apply 3 vulnerable .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Bodyguard,necrobinder,skill,basic,1,1,Summon 5.,bodyguard necrobinder basic skill summon 5 . summon 7 .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Defend,ironclad,skill,basic,1,2,Gain 5 Block.,defend ironclad basic skill gain 5 block . gain 8 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Defend,silent,skill,basic,1,3,Gain 5 Block.,defend silent basic skill gain 5 block . gain 8 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Defend,defect,skill,basic,1,4,Gain 5 Block.,defend defect basic skill gain 5 block . gain 8 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Defend,necrobinder,skill,basic,1,5,Gain 5 Block.,defend necrobinder basic skill gain 5 block . gain 8 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Defend,regent,skill,basic,1,6,Gain 5 Block.,defend regent basic skill gain 5 block . gain 8 block .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Dualcast,defect,skill,basic,1,7,Evoke your rightmost Orb twice.,dualcast defect basic skill evoke your rightmost orb twice. evoke your rightmost orb twice.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Falling Star,regent,attack,basic,0,8,Deal 7 damage. / Apply 1 Weak. / Apply 1 Vulnerable.,falling star regent basic attack deal 7 damage. apply 1 weak . apply 1 vulnerable . deal 11 damage. apply 1 weak . apply 1 vulnerable .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Neutralize,silent,attack,basic,0,9,Deal 3 damage. / Apply 1 Weak.,neutralize silent basic attack deal 3 damage. apply 1 weak . deal 4 damage. apply 2 weak .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Strike,ironclad,attack,basic,1,10,Deal 6 damage.,strike ironclad basic attack deal 6 damage. deal 9 damage.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Strike,silent,attack,basic,1,11,Deal 6 damage.,strike silent basic attack deal 6 damage. deal 9 damage.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Strike,defect,attack,basic,1,12,Deal 6 damage.,strike defect basic attack deal 6 damage. deal 9 damage.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Strike,necrobinder,attack,basic,1,13,Deal 6 damage.,strike necrobinder basic attack deal 6 damage. deal 9 damage.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Strike,regent,attack,basic,1,14,Deal 6 damage.,strike regent basic attack deal 6 damage. deal 9 damage.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Survivor,silent,skill,basic,1,15,Gain 8 Block. / Discard 1 card.,survivor silent basic skill gain 8 block . discard 1 card. gain 11 block . discard 1 card.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Unleash,necrobinder,attack,basic,1,16,Osty deals 6 damage. / Deals additional damage equal to Osty's current HP.,unleash necrobinder basic attack osty deals 6 damage. deals additional damage equal to osty's current hp. osty deals 9 damage. deals additional damage equal to osty's current hp.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Venerate,regent,skill,basic,1,17,Gain .,venerate regent basic skill gain . gain .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Zap,defect,skill,basic,1,18,Channel 1 Lightning.,zap defect basic skill channel 1 lightning . channel 1 lightning .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Acrobatics,silent,skill,common,1,19,Draw 3 cards. / Discard 1 card.,acrobatics silent common skill draw 3 cards. discard 1 card. draw 4 cards. discard 1 card.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Afterlife,necrobinder,skill,common,1,20,Summon 6.,afterlife necrobinder common skill summon 6 . summon 9 .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Anger,ironclad,attack,common,0,21,Deal 6 damage. / Add a copy of this card into your Discard Pile.,anger ironclad common attack deal 6 damage. add a copy of this card into your discard pile . deal 8 damage. add a copy of this card into your discard pile .,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
Anticipate,silent,skill,common,0,22,Gain 3 Dexterity this turn.,anticipate silent common skill gain 3 dexterity this turn. gain 5 dexterity this turn.,StratGG cards page snapshot,https://www.stratgg.com/cards/,2026-05-17T08:49:48.916628+00:00
