id,slug,name,description,upgradedName,upgradedDescription,character,pool,type,cost,rarity,image,portraitUrl,sourceUrl,sortCost,source,source_url,fetched_at_utc
0-abrasive,abrasive,Abrasive,Sly. Gain 1 Dexterity. Gain 4 Thorns.,Abrasive+,Sly. Gain 1 Dexterity. Gain 6 Thorns.,Silent,Silent,Power,3,Rare,/media/cards-webp/abrasive.webp,/media/card-portraits/silent/abrasive.webp,https://sts2.untapped.gg/en/cards/abrasive,3,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
1-accelerant,accelerant,Accelerant,Poison is triggered 1 additional time.,Accelerant+,Poison is triggered 2 additional times.,Silent,Silent,Power,1,Rare,/media/cards-webp/accelerant.webp,/media/card-portraits/silent/accelerant.webp,https://sts2.untapped.gg/en/cards/accelerant,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
2-accuracy,accuracy,Accuracy,Shivs deal 4 additional damage.,Accuracy+,Shivs deal 6 additional damage.,Silent,Silent,Power,1,Uncommon,/media/cards-webp/accuracy.webp,/media/card-portraits/silent/accuracy.webp,https://sts2.untapped.gg/en/cards/accuracy,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
3-acrobatics,acrobatics,Acrobatics,Draw 3 cards. Discard 1 card.,Acrobatics+,Draw 4 cards. Discard 1 card.,Silent,Silent,Skill,1,Common,/media/cards-webp/acrobatics.webp,/media/card-portraits/silent/acrobatics.webp,https://sts2.untapped.gg/en/cards/acrobatics,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
4-adaptive-strike,adaptive_strike,Adaptive Strike,Deal 18 damage. Add a 0 Energy copy of this card into your Discard Pile.,Adaptive Strike+,Deal 23 damage. Add a 0 Energy copy of this card into your Discard Pile.,Defect,Defect,Attack,2,Rare,/media/cards-webp/adaptive_strike.webp,/media/card-portraits/defect/adaptive_strike.webp,https://sts2.untapped.gg/en/cards/adaptive_strike,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
5-adrenaline,adrenaline,Adrenaline,Gain 1 Energy. Draw 2 cards. Exhaust.,Adrenaline+,Gain 2 Energy. Draw 2 cards. Exhaust.,Silent,Silent,Skill,0,Rare,/media/cards-webp/adrenaline.webp,/media/card-portraits/silent/adrenaline.webp,https://sts2.untapped.gg/en/cards/adrenaline,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
6-afterimage,afterimage,Afterimage,"Whenever you play a card, gain 1 Block.",Afterimage+,"Innate. Whenever you play a card, gain 1 Block.",Silent,Silent,Power,1,Rare,/media/cards-webp/afterimage.webp,/media/card-portraits/silent/afterimage.webp,https://sts2.untapped.gg/en/cards/afterimage,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
7-afterlife,afterlife,Afterlife,Summon 6. Exhaust.,Afterlife+,Summon 9. Exhaust.,Necrobinder,Necrobinder,Skill,1,Common,/media/cards-webp/afterlife.webp,/media/card-portraits/necrobinder/afterlife.webp,https://sts2.untapped.gg/en/cards/afterlife,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
8-aggression,aggression,Aggression,"At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.",Aggression+,"Innate. At the start of your turn, put a random Attack from your Discard Pile into your Hand and Upgrade it.",Ironclad,Ironclad,Power,1,Rare,/media/cards-webp/aggression.webp,/media/card-portraits/ironclad/aggression.webp,https://sts2.untapped.gg/en/cards/aggression,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
9-alchemize,alchemize,Alchemize,Procure a random potion. Exhaust.,Alchemize+,Cost changes from 1 to 0,Colorless,Colorless,Skill,1,Rare,/media/cards-webp/alchemize.webp,/media/card-portraits/colorless/alchemize.webp,https://sts2.untapped.gg/en/cards/alchemize,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
10-alignment,alignment,Alignment,Gain 2 Star Energy.,Alignment+,Gain 3 Star Energy.,Regent,Regent,Skill,0,Uncommon,/media/cards-webp/alignment.webp,/media/card-portraits/regent/alignment.webp,https://sts2.untapped.gg/en/cards/alignment,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
11-all-for-one,all_for_one,All for One,Deal 10 damage. Put ALL 0 Energy cards from your Discard Pile into your Hand.,All for One+,Deal 14 damage. Put ALL 0 Energy cards from your Discard Pile into your Hand.,Defect,Defect,Attack,2,Rare,/media/cards-webp/all_for_one.webp,/media/card-portraits/defect/all_for_one.webp,https://sts2.untapped.gg/en/cards/all_for_one,2,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
12-anger,anger,Anger,Deal 6 damage. Add a copy of this card into your Discard Pile.,Anger+,Deal 8 damage. Add a copy of this card into your Discard Pile.,Ironclad,Ironclad,Attack,0,Common,/media/cards-webp/anger.webp,/media/card-portraits/ironclad/anger.webp,https://sts2.untapped.gg/en/cards/anger,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
13-anointed,anointed,Anointed,Put every Rare card from your Draw Pile into your Hand. Exhaust.,Anointed+,Retain. Put every Rare card from your Draw Pile into your Hand. Exhaust.,Colorless,Colorless,Skill,1,Rare,/media/cards-webp/anointed.webp,/media/card-portraits/colorless/anointed.webp,https://sts2.untapped.gg/en/cards/anointed,1,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
14-anticipate,anticipate,Anticipate,Gain 3 Dexterity this turn.,Anticipate+,Gain 5 Dexterity this turn.,Silent,Silent,Skill,0,Common,/media/cards-webp/anticipate.webp,/media/card-portraits/silent/anticipate.webp,https://sts2.untapped.gg/en/cards/anticipate,0,STS2 Wiki cards/data.json,https://sts2.wiki/cards/data.json,2026-05-17T08:49:48.916628+00:00
