name_slug,search_text,character,rarity,sort_rarity,image,name,description_title,description,id,source,source_url,fetched_at_utc,image_url
akabeko,"at the start of each combat, gain 8 vigor.",Colorless,Uncommon,2,/media/relics/akabeko.png,Akabeko,"At the start of each combat, gain 8 Vigor.","At the start of each combat, gain 8 Vigor.",0-akabeko,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/akabeko.png
alchemical coffer,"upon pickup, gain 4 potion slots filled with random potions.",Colorless,Ancient,4,/media/relics/alchemical_coffer.png,Alchemical Coffer,"Upon pickup, gain 4 potion slots filled with random potions.","Upon pickup, gain 4 potion slots filled with random potions.",1-alchemical-coffer,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/alchemical_coffer.png
amethyst aubergine,enemies drop 10 additional gold.,Colorless,Common,1,/media/relics/amethyst_aubergine.png,Amethyst Aubergine,Enemies drop 10 additional Gold.,Enemies drop 10 additional Gold.,2-amethyst-aubergine,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/amethyst_aubergine.png
anchor,start each combat with 10 block.,Colorless,Common,1,/media/relics/anchor.png,Anchor,Start each combat with 10 Block.,Start each combat with 10 Block.,3-anchor,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/anchor.png
arcane scroll,"upon pickup, obtain a random rare card to add to your deck.",Colorless,Ancient,4,/media/relics/arcane_scroll.png,Arcane Scroll,"Upon pickup, obtain a random Rare Card to add to your Deck.","Upon pickup, obtain a random Rare Card to add to your Deck.",4-arcane-scroll,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/arcane_scroll.png
archaic tooth,"upon pickup, transform a starter card with an ancient version.",Colorless,Ancient,4,/media/relics/archaic_tooth.png,Archaic Tooth,"Upon pickup, Transform a starter card with an ancient version.","Upon pickup, Transform a starter card with an ancient version.",5-archaic-tooth,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/archaic_tooth.png
art of war,"if you do not play any attacks during your turn, gain an additional colorless energy next turn.",Colorless,Rare,3,/media/relics/art_of_war.png,Art of War,"If you do not play any Attacks during your turn, gain an additional Colorless Energy next turn.","If you do not play any Attacks during your turn, gain an additional Colorless Energy next turn.",6-art-of-war,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/art_of_war.png
astrolabe,"upon pickup, transform 3 cards, then upgrade them.",Colorless,Ancient,4,/media/relics/astrolabe.png,Astrolabe,"Upon pickup, Transform 3 cards, then Upgrade them.","Upon pickup, Transform 3 cards, then Upgrade them.",7-astrolabe,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/astrolabe.png
bag of marbles,"at the start of each combat, apply 1 vulnerable to all enemies.",Colorless,Uncommon,2,/media/relics/bag_of_marbles.png,Bag of Marbles,"At the start of each combat, apply 1 Vulnerable to ALL enemies.","At the start of each combat, apply 1 Vulnerable to ALL enemies.",8-bag-of-marbles,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bag_of_marbles.png
bag of preparation,"at the start of each combat, draw 2 additional cards.",Colorless,Common,1,/media/relics/bag_of_preparation.png,Bag of Preparation,"At the start of each combat, draw 2 additional cards.","At the start of each combat, draw 2 additional cards.",9-bag-of-preparation,STS2 Wiki page scrape,https://sts2.wiki/relics/,2026-05-19T13:04:50.666712+00:00,https://sts2.wiki/media/relics/bag_of_preparation.png
